time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
44455,20,-5381,145,0,1,1,0,0,0,0,0
44465,26,-5382,134,0,1,1,0,0,0,0,0
44475,21,-5388,147,0,1,1,0,0,0,0,0
44485,19,-5381,150,0,1,1,0,0,0,0,0
44495,15,-5385,146,0,1,1,0,0,0,0,0
44505,30,-5377,141,0,1,1,0,0,0,0,0
44515,19,-5375,136,0,1,1,0,0,0,0,0
44525,16,-5382,143,0,1,1,0,0,0,0,0
44535,17,-5395,156,0,1,1,0,0,0,0,0
44546,19,-5393,150,0,1,1,0,0,0,0,0
44556,26,-5380,149,0,1,1,0,0,0,0,0
44566,32,-5397,142,0,1,1,0,0,0,0,0
44576,22,-5378,140,0,1,1,0,0,0,0,0
44586,16,-5374,152,0,1,1,0,0,0,0,0
44596,19,-5378,145,0,1,1,0,0,0,0,0
44606,29,-5379,143,0,1,1,0,0,0,0,0
44616,34,-5386,145,0,1,1,0,0,0,0,0
44626,20,-5387,144,0,1,1,0,0,0,0,0
44636,13,-5374,141,0,1,1,0,0,0,0,0
44646,16,-5370,146,0,1,1,0,0,0,0,0
44656,11,-5381,152,0,1,1,0,0,0,0,0
44666,27,-5383,146,0,1,1,0,0,0,0,0
44676,10,-5377,146,0,1,1,0,0,0,0,0
44686,7,-5379,141,0,1,1,0,0,0,0,0
44696,14,-5386,137,0,1,1,0,0,0,0,0
44706,16,-5378,149,0,1,1,0,0,0,0,0
44717,24,-5377,141,0,1,1,0,0,0,0,0
44727,14,-5383,135,0,1,1,0,0,0,0,0
44737,25,-5372,146,0,1,1,0,0,0,0,0
44747,18,-5374,149,0,1,1,0,0,0,0,0
44757,25,-5383,148,0,1,1,0,0,0,0,0
44767,23,-5397,139,0,1,1,0,0,0,0,0
44777,17,-5379,137,0,1,1,0,0,0,0,0
44787,14,-5380,136,0,1,1,0,0,0,0,0
44791,19,-5391,137,0,1,1,0,0,0,0,0
44801,21,-5385,142,0,1,1,0,0,0,0,0
44811,21,-5379,141,0,1,1,0,0,0,0,0
44821,19,-5372,150,0,1,1,0,0,0,0,0
44831,17,-5396,161,0,1,1,1,0,0,0,0
44842,17,-5382,150,0,1,1,0,0,0,0,0
44852,30,-5379,146,0,1,1,0,0,0,0,0
44863,25,-5385,149,0,1,1,0,0,0,0,0
44873,23,-5380,140,0,1,1,0,0,0,0,0
44888,21,-5376,135,0,1,1,0,0,0,0,0
44898,17,-5389,136,0,1,1,0,0,0,0,0
44909,26,-5387,133,0,1,1,0,0,0,0,0
44919,29,-5378,147,0,1,1,0,0,0,0,0
44920,15,-5385,152,0,1,1,0,0,0,0,0
44930,15,-5394,140,0,1,1,0,0,0,0,0
44940,17,-5385,146,0,1,1,0,0,0,0,0
44951,28,-5377,134,0,1,1,0,0,0,0,0
44961,15,-5379,143,0,1,1,0,0,0,0,0
44972,17,-5370,149,0,1,1,0,0,0,0,0
44982,11,-5410,112,0,1,1,0,0,0,0,0
